日期,数据
2026/9/1,3860.589812
2026/9/2,3510.277033
2026/9/3,3306.523682
2026/9/4,3417.336908
2026/9/5,3295.799821
2026/9/6,2241.286863
2026/9/7,2141.197498
2026/9/8,3356.568365
2026/9/9,2945.487042
2026/9/10,2716.711349
2026/9/11,2841.823056
2026/9/12,2788.203753
2026/9/13,1905.272565
2026/9/14,1676.496872
2026/9/15,2634.495085
2026/9/16,2284.182306
2026/9/17,2166.219839
2026/9/18,2026.809651
2026/9/19,1966.041108
2026/9/20,1390.527256
2026/9/21,1276.13941
2026/9/22,2026.809651
2026/9/23,1747.989276
2026/9/24,1576.407507
2026/9/25,1583.556747
2026/9/26,1554.959786
2026/9/27,943.6997319
2026/9/28,1379.803396
2026/9/29,1294.012511
2026/9/30,1447.72118
2026/8/1,7160.714286
2026/8/2,5133.928571
2026/8/3,5205.357143
2026/8/4,5000
2026/8/5,9794.642857
2026/8/6,7080.357143
2026/8/7,6491.071429
2026/8/8,6982.142857
2026/8/9,4982.142857
2026/8/10,4741.071429
2026/8/11,7008.928571
2026/8/12,6392.857143
2026/8/13,6258.928571
2026/8/14,5973.214286
2026/8/15,6241.071429
2026/8/16,4258.928571
2026/8/17,4330.357143
2026/8/18,6241.071429
2026/8/19,5517.857143
2026/8/20,5383.928571
2026/8/21,5133.928571
2026/8/22,5258.928571
2026/8/23,3526.785714
2026/8/24,3535.714286
2026/8/25,5133.928571
2026/8/26,4419.642857
2026/8/27,4330.357143
2026/8/28,4035.714286
2026/8/29,4151.785714
2026/8/30,2839.285714
2026/8/31,2687.5
2026/7/1,8145.16129
2026/7/2,8172.043011
2026/7/3,8369.175627
2026/7/4,8530.46595
2026/7/5,5860.215054
2026/7/6,5887.096774
2026/7/7,8718.637993
2026/7/8,7921.146953
2026/7/9,7894.265233
2026/7/10,7437.275986
2026/7/11,8279.569892
2026/7/12,5958.781362
2026/7/13,5698.924731
2026/7/14,8655.913978
2026/7/15,8010.752688
2026/7/16,8145.16129
2026/7/17,8207.885305
2026/7/18,7571.684588
2026/7/19,6254.480287
2026/7/20,5331.541219
2026/7/21,6738.351254
2026/7/22,8817.204301
2026/7/23,7607.526882
2026/7/24,7526.88172
2026/7/25,7491.039427
2026/7/26,5600.358423
2026/7/27,5331.541219
2026/7/28,7930.107527
2026/7/29,7383.512545
2026/7/30,7016.129032
2026/7/31,7078.853047
2026/6/1,12453.16682
2026/6/2,12827.83229
2026/6/3,18786.7975
2026/6/4,17448.70651
2026/6/5,17288.13559
2026/6/6,17252.45317
2026/6/7,12149.86619
2026/6/8,10508.47458
2026/6/9,14986.61909
2026/6/10,13077.60928
2026/6/11,11989.29527
2026/6/12,11793.04193
2026/6/13,12221.23104
2026/6/14,8510.258698
2026/6/15,7850.133809
2026/6/16,11578.94737
2026/6/17,10865.29884
2026/6/18,10454.95094
2026/6/19,10258.69759
2026/6/20,10454.95094
2026/6/21,7225.691347
2026/6/22,6958.073149
2026/6/23,9687.778769
2026/6/24,9277.430865
2026/6/25,8849.241748
2026/6/26,8813.559322
2026/6/27,8920.606601
2026/6/28,6244.424621
2026/6/29,6244.424621
2026/6/30,9545.049063
2026/5/1,6366.047745
2026/5/2,6620.689655
2026/5/3,7066.312997
2026/5/4,6620.689655
2026/5/5,8106.100796
2026/5/6,11076.92308
2026/5/7,11013.2626
2026/5/8,11374.00531
2026/5/9,11310.34483
2026/5/10,8212.201592
2026/5/11,8042.440318
2026/5/12,12116.71088
2026/5/13,12222.81167
2026/5/14,12244.03183
2026/5/15,13517.24138
2026/5/16,14960.2122
2026/5/17,11883.28912
2026/5/18,12328.91247
2026/5/19,18992.04244
2026/5/20,19925.72944
2026/5/21,21220.15915
2026/5/22,21899.20424
2026/5/23,22132.62599
2026/5/24,15511.93634
2026/5/25,15045.09284
2026/5/26,22684.35013
2026/5/27,21835.54377
2026/5/28,21368.70027
2026/5/29,19416.44562
2026/5/30,20774.53581
2026/5/31,13793.10345
