Date,daily_cases
2025-05-01,6380
2025-05-02,6635
2025-05-03,7082
2025-05-04,6635
2025-05-05,8124
2025-05-06,11102
2025-05-07,11038
2025-05-08,11399
2025-05-09,11336
2025-05-10,8231
2025-05-11,8060
2025-05-12,12144
2025-05-13,12250
2025-05-14,12271
2025-05-15,13547
2025-05-16,14994
2025-05-17,11910
2025-05-18,12356
2025-05-19,19034
2025-05-20,19970
2025-05-21,21267
2025-05-22,21948
2025-05-23,22182
2025-05-24,15547
2025-05-25,15079
2025-05-26,22735
2025-05-27,21884
2025-05-28,21416
2025-05-29,19460
2025-05-30,20821
2025-05-31,13824
2025-06-01,12405
2025-06-02,12778
2025-06-03,18714
2025-06-04,17381
2025-06-05,17221
2025-06-06,17186
2025-06-07,12103
2025-06-08,10468
2025-06-09,14929
2025-06-10,13027
2025-06-11,11943
2025-06-12,11747
2025-06-13,12174
2025-06-14,8477
2025-06-15,7820
2025-06-16,11534
2025-06-17,10823
2025-06-18,10415
2025-06-19,10219
2025-06-20,10415
2025-06-21,7198
2025-06-22,6931
2025-06-23,9650
2025-06-24,9242
2025-06-25,8815
2025-06-26,8779
2025-06-27,8886
2025-06-28,6220
2025-06-29,6220
2025-06-30,9508
2025-07-01,8109
2025-07-02,8136
2025-07-03,8332
2025-07-04,8493
2025-07-05,5834
2025-07-06,5861
2025-07-07,8680
2025-07-08,7886
2025-07-09,7859
2025-07-10,7404
2025-07-11,8243
2025-07-12,5932
2025-07-13,5674
2025-07-14,8618
2025-07-15,7975
2025-07-16,8109
2025-07-17,8172
2025-07-18,7538
2025-07-19,6227
2025-07-20,5308
2025-07-21,6709
2025-07-22,8778
2025-07-23,7574
2025-07-24,7494
2025-07-25,7458
2025-07-26,5576
2025-07-27,5308
2025-07-28,7895
2025-07-29,7351
2025-07-30,6985
2025-07-31,7048
2025-08-01,7134
2025-08-02,5115
2025-08-03,5186
2025-08-04,4982
2025-08-05,9759
2025-08-06,7054
2025-08-07,6467
2025-08-08,6956
2025-08-09,4964
2025-08-10,4724
2025-08-11,6983
2025-08-12,6369
2025-08-13,6236
2025-08-14,5951
2025-08-15,6218
2025-08-16,4243
2025-08-17,4314
2025-08-18,6218
2025-08-19,5498
2025-08-20,5364
2025-08-21,5115
2025-08-22,5240
2025-08-23,3514
2025-08-24,3523
2025-08-25,5115
2025-08-26,4403
2025-08-27,4314
2025-08-28,4021
2025-08-29,4137
2025-08-30,2829
2025-08-31,2678
2025-09-01,3838
2025-09-02,3490
2025-09-03,3287
2025-09-04,3398
2025-09-05,3277
2025-09-06,2228
2025-09-07,2129
2025-09-08,3337
2025-09-09,2929
2025-09-10,2701
2025-09-11,2825
2025-09-12,2772
2025-09-13,1894
2025-09-14,1667
2025-09-15,2619
2025-09-16,2271
2025-09-17,2154
2025-09-18,2015
2025-09-19,1955
2025-09-20,1383
2025-09-21,1269
2025-09-22,2015
2025-09-23,1738
2025-09-24,1567
2025-09-25,1574
2025-09-26,1546
2025-09-27,938
2025-09-28,1372
2025-09-29,1287
2025-09-30,1439
