replicate,seed,success,error,change_index,change_date,beta1,beta2,e_mult,i_mult,R_before,R_after,optimizer_success,SSE,RMSE,R2,AIC,BIC
1,1663274738,True,,24,2025-05-25,0.2809686149840554,0.17575300754332956,1.0241525140262755,1.0091990669669253,1.404843074920277,0.8787650377166478,True,455185277.09560966,1724.8383027285602,0.8813453256577065,2290.583907782087,2305.736097389049
2,484571694,True,,23,2025-05-24,0.26283696337177975,0.17326019140295693,0.9610147276606931,0.9734190687155864,1.3141848168588988,0.8663009570147846,True,419576149.9060905,1655.9975172577979,0.8785644699711207,2278.120603725308,2293.27279333227
3,1252564428,True,,23,2025-05-24,0.283991218315103,0.17558553370194188,1.0542585871074512,1.0071423514657962,1.419956091575515,0.8779276685097094,True,516951178.4278637,1838.1419618945488,0.8647531585609891,2310.052224349536,2325.2044139564982
4,3368967322,True,,19,2025-05-20,0.27991998178838184,0.17487488341773907,0.9998780817989217,1.0000827241343777,1.399599908941909,0.8743744170886953,True,950074826.2690802,2491.9148033950937,0.7673188362191204,2403.1668475314405,2418.3190371384026
5,4006822629,True,,22,2025-05-23,0.2791904816930808,0.17608066479813672,0.9866276585224822,1.0088591547182126,1.395952408465404,0.8804033239906836,True,535294720.5532201,1870.4700757481828,0.8520542260289076,2315.387187033206,2330.539376640168
6,2626768342,True,,19,2025-05-20,0.2799789592743199,0.17488322642753398,1.0000014640991115,1.0002711126500041,1.3998947963715995,0.8744161321376699,True,573477367.3296049,1936.0315305081165,0.8546173451097689,2325.929039561755,2341.081229168717
7,1989199112,True,,22,2025-05-23,0.29022355986793474,0.175257733680017,0.988044072194746,1.0240248260742928,1.4511177993396736,0.876288668400085,True,671973279.1886678,2095.705660850158,0.8591349888933622,2350.179555618424,2365.331745225386
8,1249381262,True,,25,2025-05-26,0.2656938062268664,0.17378897627659842,1.0160237236778047,0.9776848134992335,1.328469031134332,0.8689448813829921,True,568934461.0582788,1928.347968928273,0.8477843569532031,2324.712195852633,2339.8643854595953
9,2944520355,True,,15,2025-05-16,0.2795710400530398,0.1794844909318145,0.9999779831831521,1.0002257013488185,1.397855200265199,0.8974224546590726,True,1153843267.4490275,2746.171747064034,0.6980120031156551,2432.896717420044,2448.048907027006
10,2389403313,True,,23,2025-05-24,0.2800000005450451,0.16999999999032706,1.0000000318661257,0.9999999788407995,1.4000000027252253,0.8499999999516352,True,1087200449.0128093,2665.6866446875224,0.6987025616185849,2423.7943885984178,2438.94657820538
11,3985193392,True,,28,2025-05-29,0.17849922221379672,0.1764398410370596,0.08246338326797562,4.408133222871967,0.8924961110689835,0.8821992051852979,True,1250059045.0000303,2858.3772591377356,0.6949637452906785,2445.1508613681517,2460.303050975114
12,2608072463,True,,21,2025-05-22,0.27586906794060845,0.17504490649845902,1.0003291900302782,0.9910919550784962,1.3793453397030422,0.875224532492295,True,547961040.2739923,1892.470530199388,0.8583510309922301,2318.9653544701064,2334.1175440770685
13,1797848028,True,,20,2025-05-21,0.2870773231437672,0.17773155128991236,1.5513120967789875,0.37609099262604684,1.435386615718836,0.8886577564495618,True,528911171.0564396,1859.2836681202846,0.8688740252064312,2313.551649765522,2328.7038393724843
14,4234630297,True,,23,2025-05-24,0.2877538243325376,0.17491740439191764,1.000178430593389,0.9983503037247504,1.4387691216626879,0.8745870219595882,True,688520490.6491828,2121.351909941312,0.8370146206166423,2353.901510485143,2369.053700092105
15,2557736295,True,,22,2025-05-23,0.2660598639353386,0.17543187387949455,0.9993840232897282,0.9999665687689465,1.3302993196766928,0.8771593693974727,True,734628990.006212,2191.231769281211,0.8346777970201055,2363.819049624655,2378.971239231617
16,1081163100,True,,22,2025-05-23,0.28021007587787394,0.17381771462936962,1.0005552289246882,1.0003457680855015,1.4010503793893696,0.8690885731468481,True,583949287.8713508,1953.6279103839222,0.8769506961406685,2328.697677308312,2343.849866915274
17,757959825,True,,33,2025-06-03,0.20324523091202049,0.17495873590679675,0.08953689130036005,2.556096671662143,1.0162261545601023,0.8747936795339837,True,689324229.1901737,2122.5897198681673,0.8258513882184161,2354.080009569908,2369.23219917687
18,2572291305,True,,24,2025-05-25,0.2797980205506049,0.17336761931770434,0.9999240311147737,1.0012379745646496,1.3989901027530243,0.8668380965885216,True,344278666.6554423,1500.0624532868826,0.9174873614336221,2247.8581786549353,2263.0103682618974
19,579885718,True,,22,2025-05-23,0.28000855471965125,0.17591744352974623,1.109557934699453,1.0010497408252985,1.4000427735982561,0.879587217648731,True,347838675.56922233,1507.7981946790062,0.9128728104058959,2249.4321492354215,2264.5843388423837
20,1974219783,True,,23,2025-05-24,0.280801871686651,0.1756227124966354,1.000825506155232,0.9994160334245117,1.404009358433255,0.8781135624831771,True,616210630.8490088,2006.868322303538,0.8535167908248901,2336.925205652963,2352.077395259925
21,2668172968,True,,24,2025-05-25,0.2819117614770725,0.17360675060495054,1.0228114980961147,1.0111476047736643,1.4095588073853622,0.8680337530247526,True,490696279.6111607,1790.856003763769,0.871830677742802,2302.0773936694914,2317.2295832764535
22,2617962516,True,,20,2025-05-21,0.2798956248858514,0.1733954618129812,1.0000421782103766,0.9999173806085359,1.399478124429257,0.866977309064906,True,618887719.089053,2011.2229542802747,0.8577434400109308,2337.5884648050587,2352.740654412021
23,2001218957,True,,20,2025-05-21,0.2732087086671714,0.17313831871878455,0.9997533605926141,0.9809060349440542,1.3660435433358569,0.8656915935939227,True,671900804.8640461,2095.592643746197,0.8591722689325815,2350.1630532216454,2365.3152428286076
24,939925964,True,,23,2025-05-24,0.27281088138060455,0.17014598075830847,0.999948653755315,1.0000703358678782,1.3640544069030227,0.8507299037915423,True,784525076.2076156,2264.4237406399798,0.8252788712045895,2373.8731294395006,2389.0253190464628
25,2080919864,True,,20,2025-05-21,0.27922728152085685,0.18101194845328988,0.9915994453281306,0.9986543716700944,1.3961364076042841,0.9050597422664494,True,771815395.2098408,2246.006470767835,0.7989758991666319,2371.3741589917367,2386.526348598699
26,1371089381,True,,22,2025-05-23,0.30427174769910037,0.17421597014869,1.4951758545697145,0.20979452600122256,1.5213587384955018,0.87107985074345,True,596722198.0956578,1974.8784989443109,0.8555916235029288,2332.008219711811,2347.160409318773
27,2743647534,True,,21,2025-05-22,0.27683447550738105,0.17839306061361682,1.005824037850838,0.7685502117720728,1.3841723775369053,0.8919653030680841,True,598110494.9426031,1977.1744791984052,0.8401130136546473,2332.363766583617,2347.515956190579
28,3013604848,True,,22,2025-05-23,0.280454814879863,0.1757369663896518,0.999434533536557,0.9973601236705733,1.402274074399315,0.878684831948259,True,384973298.3486072,1586.2425251781983,0.896127790418087,2264.9517318679136,2280.1039214748757
29,1477425621,True,,22,2025-05-23,0.25210272129622224,0.17596170877252104,2.1013110171823355,0.22401487727463898,1.260513606481111,0.8798085438626052,True,765591813.6144682,2236.932735430295,0.8124643561737049,2370.135432933999,2385.287622540961
30,544671461,True,,19,2025-05-20,0.2799763363248331,0.17626930033774937,0.9993566091496698,1.0001605712673727,1.3998816816241655,0.8813465016887468,True,689980165.1511524,2123.599369474778,0.8279126266025872,2354.2255296016087,2369.377719208571
31,4243370170,True,,22,2025-05-23,0.27987734192024244,0.1733682248150438,1.0000832352931228,0.9997954000246005,1.399386709601212,0.866841124075219,True,588931794.8966784,1961.944804938546,0.858914202231486,2329.997601353176,2345.149790960138
32,3053388618,True,,31,2025-06-01,0.2438709823826361,0.1704462959804625,0.9473617417060098,0.9641495104131718,1.2193549119131804,0.8522314799023124,True,868903619.8018292,2383.0880441468685,0.8059092138078164,2389.5026414942095,2404.6548311011716
33,2350712074,True,,20,2025-05-21,0.2787158238579301,0.17716460426092698,1.0003773701590726,0.9904773308473693,1.3935791192896503,0.8858230213046349,True,576101038.2256478,1940.4551690035848,0.8420614854614961,2326.6274214070263,2341.7796110139884
34,3518299134,True,,39,2025-06-09,0.2219542570921977,0.17197044452176094,1.0159261448907557,1.0360351530337615,1.1097712854609885,0.8598522226088047,True,863073109.8952842,2375.07909726599,0.7896831714546602,2388.4725221280073,2403.6247117349694
35,1013027437,True,,22,2025-05-23,0.2626293018628918,0.17627331917677844,0.9997613797480991,0.9999797384351117,1.313146509314459,0.8813665958838921,True,638339752.1580056,2042.5854309826998,0.8394189970212569,2342.323325675393,2357.475515282355
36,2482685189,True,,26,2025-05-27,0.2544105717371681,0.17301818700443822,0.8839752429686042,0.8740258636201343,1.2720528586858404,0.865090935022191,True,477781128.4242703,1767.1311420947918,0.8871346900354793,2297.996482202678,2313.1486718096403
37,598320143,True,,25,2025-05-26,0.2799128083546385,0.17255626501387739,1.0000172545561392,0.9996931599589081,1.3995640417731925,0.8627813250693869,True,617880694.3616009,2009.5860048428226,0.8606752131192511,2337.3393077022833,2352.4914973092455
38,2102822653,True,,25,2025-05-26,0.2276214033862305,0.1769482774360243,0.04844257039334558,2.1524180492474128,1.1381070169311525,0.8847413871801214,True,772419326.9625571,2246.8850288985877,0.7785849273292181,2371.493831942422,2386.646021549384
39,3575201650,True,,25,2025-05-26,0.248208676035125,0.17523834020995374,0.9290351669880407,0.8514538278796422,1.2410433801756249,0.8761917010497686,True,515634578.6927019,1835.799729014671,0.8622963687936716,2309.662058463062,2324.814248070024
40,4185706305,True,,21,2025-05-22,0.27987004863063103,0.1712048886430528,0.9990482137721141,1.000136978762303,1.399350243153155,0.8560244432152639,True,415688806.6658654,1648.3083161246432,0.91027533273547,2276.6964620674753,2291.8486516744374
41,3675805831,True,,22,2025-05-23,0.2788029125877444,0.17418435852509323,1.0003644882127911,0.9957499114167709,1.394014562938722,0.8709217926254661,True,463968604.26371837,1741.4001658640561,0.8829110194305321,2293.508097062466,2308.660286669428
42,1991424109,True,,24,2025-05-25,0.1780864659786524,0.18009671578210945,0.5373648216230135,3.4549677300308015,0.890432329893262,0.9004835789105472,True,1235541131.5257683,2841.730499571443,0.6982197814475543,2443.363553785625,2458.515743392587
43,2856507982,True,,31,2025-06-01,0.24349978505813655,0.16739980055037187,2.6022864269905384,0.20482047711180099,1.2174989252906827,0.8369990027518593,True,2095903265.1100156,3701.177400645078,0.5009784885474484,2524.2203169072504,2539.3725065142125
44,2369600747,True,,21,2025-05-22,0.2797938846912382,0.1729610618266283,0.9999100138210013,0.9995191830516145,1.3989694234561911,0.8648053091331415,True,657552349.8786286,2073.0961813154017,0.8507734229335807,2346.8603436073577,2362.01253321432
45,1419114337,True,,23,2025-05-24,0.28147163563651434,0.17805058809614396,1.0001668487897581,1.009172526846876,1.4073581781825717,0.8902529404807198,True,543044011.8996848,1883.9605270063917,0.8444234925978781,2317.5862399858393,2332.7384295928014
46,2867667027,True,,18,2025-05-19,0.2800431572107241,0.1753620633721067,0.9931890460006944,0.9999757305043661,1.4002157860536204,0.8768103168605335,True,929546965.8670828,2464.8469252966465,0.7731060935277734,2399.8248054948886,2414.9769951018507
47,139030358,True,,24,2025-05-25,0.2799195747033732,0.17406221415775835,0.9999237706720767,0.9985670276133249,1.399597873516866,0.8703110707887918,True,989821830.356709,2543.506187887426,0.7962075946124157,2409.437431907611,2424.589621514573
48,4170045433,True,,19,2025-05-20,0.2751686725196537,0.1755982317192683,0.9998004594538805,0.9972571432002838,1.3758433625982684,0.8779911585963415,True,613046828.8782207,2001.709773871302,0.8385972619576576,2336.1376362686274,2351.2898258755895
49,2606428973,True,,22,2025-05-23,0.2686346272456897,0.17467177699180159,1.0001774741762424,1.000087131848591,1.3431731362284485,0.8733588849590079,True,736308213.2207168,2193.7347109062093,0.8360337564129959,2364.1683796475368,2379.320569254499
50,4288684147,True,,19,2025-05-20,0.28004178532578794,0.17393955472296116,1.0001002409555868,0.999878704340998,1.4002089266289397,0.8696977736148057,True,700606548.4397748,2139.889662478004,0.8434101085959778,2356.563921411663,2371.7161110186253
51,3839757679,True,,22,2025-05-23,0.27984871089052066,0.1723624518695059,1.0000018439468037,0.9992979539713511,1.3992435544526032,0.8618122593475295,True,613497838.9912522,2002.445953659785,0.8655974975588698,2336.250154878363,2351.402344485325
52,2043040579,True,,19,2025-05-20,0.2786899183443373,0.17542932995842284,0.9875125292376467,0.9883580228128559,1.3934495917216865,0.8771466497921141,True,603702800.7141185,1986.3962191133883,0.8321348616303733,2333.787663226579,2348.939852833541
53,2148071447,True,,21,2025-05-22,0.2799004913568322,0.17638947533820254,0.9984589501228707,0.9998188288260419,1.399502456784161,0.8819473766910126,True,622851805.0007074,2017.653793412037,0.8558290723745379,2338.565331842093,2353.7175214490553
54,1974599622,True,,38,2025-06-08,0.2223181384409515,0.17659245765780981,0.9819354001082946,1.011643628678181,1.1115906922047574,0.882962288289049,True,1411132619.308039,3036.9539040105997,0.6339031027017343,2463.6947477601057,2478.8469373670678
