change_index,change_date,frequency,proportion
15,2025-05-16,5,0.01
16,2025-05-17,2,0.004
17,2025-05-18,5,0.01
18,2025-05-19,16,0.032
19,2025-05-20,46,0.092
20,2025-05-21,55,0.11
21,2025-05-22,53,0.106
22,2025-05-23,82,0.164
23,2025-05-24,116,0.232
24,2025-05-25,39,0.078
25,2025-05-26,24,0.048
26,2025-05-27,15,0.03
27,2025-05-28,19,0.038
28,2025-05-29,2,0.004
29,2025-05-30,4,0.008
30,2025-05-31,4,0.008
31,2025-06-01,2,0.004
32,2025-06-02,1,0.002
33,2025-06-03,2,0.004
35,2025-06-05,1,0.002
37,2025-06-07,1,0.002
38,2025-06-08,1,0.002
39,2025-06-09,1,0.002
40,2025-06-10,2,0.004
44,2025-06-14,1,0.002
47,2025-06-17,1,0.002
